"","country","year","population","impsanifac","num_tb_cases","ir_tb"
"4","Argentina",2012,41086927,97.2,10000,25
"8","Bolivia",2012,10496285,46.4,13000,127
"12","Brazil",2012,198656019,81.3,93000,47
"16","Chile",2012,17464814,98.9,2800,16
"20","Colombia",2012,47704427,80.2,16000,33
"24","Costa Rica",2012,4805295,93.9,570,12
"28","Cuba",2012,11270957,92.6,1100,9.3
"32","Dominican Republic",2012,10276621,82,6400,62
"36","Ecuador",2012,15492264,83.1,9100,59
"40","El Salvador",2012,6297394,70.5,2300,37
"44","Guatemala",2012,15082831,80.3,9100,60
"48","Guyana",2012,795369,83.6,870,109
"52","Haiti",2012,10173775,24.4,22000,213
"56","Honduras",2012,7935846,80,4200,54
"60","Mexico",2012,120847477,85.3,25000,21
"64","Nicaragua",2012,5991733,52.1,3200,54
"68","Panama",2012,3802281,73.2,1900,49
"72","Paraguay",2012,6687361,79.7,3000,45
"76","Peru",2012,29987800,73.1,38000,127
"80","Suriname",2012,534541,80.3,220,42
"84","Trinidad and Tobago",2012,1337439,92.1,290,22
"88","Uruguay",2012,3395253,96.4,950,28
"92","Venezuela",2012,29954782,90.6,9900,33
