"","country","year","population","impsanifac","num_tb_cases","ir_tb"
"3","Argentina",2009,40023641,95.9,11000,28
"7","Bolivia",2009,9993406,44.6,14000,139
"11","Brazil",2009,193490922,79.7,92000,48
"15","Chile",2009,16991729,97.2,2800,17
"19","Colombia",2009,45802561,78.9,16000,35
"23","Costa Rica",2009,4601424,93.3,620,13
"27","Cuba",2009,11288826,91.1,1000,9.2
"31","Dominican Republic",2009,9884265,81,6900,70
"35","Ecuador",2009,14756424,79.9,10000,68
"39","El Salvador",2009,6183484,69.4,2000,32
"43","Guatemala",2009,13988988,78.6,8700,62
"47","Guyana",2009,781055,82.8,870,112
"51","Haiti",2009,9765153,23.7,23000,238
"55","Honduras",2009,7469844,76,4100,55
"59","Mexico",2009,116422752,82.9,24000,20
"63","Nicaragua",2009,5743329,51.9,2700,47
"67","Panama",2009,3615846,71.8,2000,55
"71","Paraguay",2009,6347383,77.2,3000,47
"75","Peru",2009,28934303,70.7,39000,135
"79","Suriname",2009,520173,80.4,260,49
"83","Trinidad and Tobago",2009,1322518,92.1,290,22
"87","Uruguay",2009,3360431,95.8,800,24
"91","Venezuela",2009,28583040,90.6,9500,33
